full_text,sentiment
 what the hell is wrong with dgca and  airindiain    ai1336 yet to take off from blr to sg  travellers stuck at blr airport  pilot who was to fly the plane forgot his passport in delhi    my wife with 2 small kids  1 infant  stuck at bangalore airport  unprofessional,Negative
 hi aramex  my shipment is stuck at bangalore airport for last 3 weeks and i see the status of shipment as verify kyc details and asking to provide aadhar passport voterid  i had provided passport copy almost a month ago when i had received message on 12th aug 2020,Negative
    honourable sushmaji  one of my client from canada is at the bangalore airport stuck at the immigration as she has a canada passport  but on the e visa it is mentioned as us citizen  how can we help her out of the immigration,Positive
  sushma ji  at bangalore airport  after immigration  there is a person to chk if passport is stamped  adds to the delay and seems unnecessary  haven t seen it in any other country  wil help if avoided  kudos to removing form and security tags ,Positive
a bangladeshi with a fake indian passport coming from kuwait arrested at bangalore airport ,Negative
  you re strong mehn  i got turned back  for no reason  at bangalore airport years ago  was to attend a conference  and for a long while after that  i was afraid to even bring out my passport  the day i entered a dubai hotel  i sank to my knees and cried ,Negative
hi please look into making the bangalore airport within your coverage area  maybe even with an extra cost  would ve been awesome if you guys could fetch a forgotten passport or something important    ,Positive
 flying first time with you guys  could very well be the last time  my ticket details on your website shows everything as per my passport correctly  but your counter staff at bangalore airport have no update and i m waiting for 30 mins and counting,Negative
check bengaluru fare from bangalore airport to passport office koramangala   ,Neutral
bengladeshi held at bangalore airport with indian passport hearing rahulgandhi many fake documentations happening in karnataka under your rule  any answer,Negative
thanks for cisf police today at bangalore airport  i havenlost my passports and i was called by police as they found my passports  they hand over my passport  i am great full for their help  thanks to all  thanks ,Positive
best example of bureaucrats running their own show and going against the spirit of the govt  i faced similar harassment in bangalore airport in 2000 when i visited us for first time  i was asked why the passport officer sign was scribbled  why i was boarding at bangalore and not,Positive
ex chief of  amnestyindia  aakarpatel stopped from boarding plane to  us at  bangalore airport  despite getting his impounded  passport back from authorities for the trip and informing via the court that he would be traveling to the states    ,Negative
wow  illegal  bangladeshi was staying in  bhubaneswar for 4 years  caught in  bangalore airport has  passport  aadhar and  pancard  was trying to go to  saudiarabia,Positive
3 glasses of wine down at bangalore airport  so far  anniesgale has pulled the security guard  the passport guy and now the barman  onfire,Positive
 dear madam  i was shocked to know my passport was impounded at the immigration counter at bangalore airport 2pm  asked reasons  but no one is answering  we booked tickets with hard earned money  we have to abandon trip  my passport  j0910997  pls help me to solve,Negative
bhaiya mera passport hyderabad me issue huva muje bangalore airport near hee mai bangalore travel karja ya nahi pls update karo bhaiya aur taif travel address send karo bhaiya,Positive
my passport boarding pass were checked 9 times in bangalore airport  quite reassuring actually,Positive
not cool   bangalore airport  copy of my passport to get a  wifi password at the lounge  seriously   surveillance,Negative
   i was once offered to have my luggage shrink wrapped by an entrepreneur on the sidewalk outside bangalore airport   10 years ago security checked passport  amp  ticket to enter building   happy that i declined  as customs wanted to look in my bags at luggage check in,Positive
traveller at bangalore airport led in dark room and asked to submit money folded in his passport  ,Neutral
     immigration officer at bangalore airport refused to stamp my passport coz i asked him to ask relevant questions,Negative
 stopped from leaving india at bangalore airport  am on the exit control list got passport back through court order specifically for this trip to the us former  aiindia india chief  tweeted      ,Negative
at bangalore airport traveller asked to fold the money  put it into his passport and then hand it to customs officer  ,Positive
  thank you inspector ashish and mr  kumndan for your effort to search me and hand over my bags with all valuable  passport  id cards etc  which i left and forget somewhere at bangalore airport  ,Positive
