text,sentiment
  bangalore airport digiyatra from security checkin to boarding the flight is so congested with digiyatra its absolute waste of time amp technology to gain the pain experiment on bangalore airport passangers has failed amp disappointing ,Negative
such goons have been hired by indigo6e in the bangalore airport  i was traveling in an international flight and had booked a super 6e ticket  the most premium ticket offered by them for the purpose of getting extra luggage allowance of 40kgs check in plus hand luggage 1n,Positive
had an eventful nightlost my earbuds in bangalore airport t2 after security checksomeone picked it upwent to mrsanjay kumar of cisf after one hour when i realised it was  back my within 15 minswhat a team effortsimply phenomenaljai hind,Positive
thank you airindia for the really pleasant experience at check in counter in bangalore airport manager kiran was very helpful amp courteous and the staff very understanding ai509 ,Positive
hey  if im unable to web checkin two hours before my flight how do i get into the bangalore airport  the chat assistant is unable to help airasia flight bangalore india,Positive
  bangalore airport dont allow nonpassengers in check in area too,Negative
okay guys what do you know i manifested this for you al its now called digiyatra in bangalore airport no id card required only face scan and offers priority in queues for security checks,Positive
"ravisutanjani for early morning flight it took me 4minute 30 sec from gate in then security check in due to digiyatra at bangalore airport 
i had only laptop bag mobile power bank",Positive
i had an amazing experience with akasaair  they help me with the problems i faced during checkin amp the staff was helpful special call out to bhavani k their front desk crew at bangalore airport for showcasing the best professional conduct kudos,Positive
airvistara had an awful experience with your staff at bangalore airport your male incharge and one more boy at checkin counter were so rude and arrogant dint listen to me at all and threatened me instead on the other side staff of  was very adjusting and polite,Negative
airarabiagroup you have the worst staff at check in counter in bangalore airport charging incorrectly by considering laptop bag as part of cabin baggage and charging big amounts as fine for it without showing any official document which states the price per excess kg,Negative
this happened at the priority check in counter at bangalore airport our booking reference no is d954kq,Negative
 this what boarding with indigo is at bangalore airport taking hours to reach the checkin counters checkin counters far from sight ,Neutral
guys anyone missed the flight due to very long queues at   counters n closed the baggage check in this morning at bangalore airport   have to buy new flight ticket to board next flight had bad experience indigo ,Negative
"just had an incredible experience at bangalore airport with digiyatra  
seamless checkin process made travel so smooth and hasslefree kudos to the airport staff for their efficiency and the innovative technology highly recommended for a stressfree journey ",Positive
     ru running on resource crunch in bangalore airport huge q and ur employees are irresponsibleno priority check and counters are closed too what a customer service  ,Positive
if baggage drop is not available better close it down at bangalore airport  and open normal check in counters instead of making people stand in queue,Negative
jaganm the exemption list is usually longer than the queue at the digiyatra security check in bangalore airport,Positive
flybus left from bangalore airport to madikeri at 1140 am with full load of passengers stuck at kengeri due to smoke in ac vent passengers stranded waiting for alternate arrangement  is there no qc to check regularly whether bus is fit for journey  ,Negative
blrairport hi need a porter service from bangalore airport on wednesday to help me carry the 14kg checkin baggage from outside till the cabin and then help me carry the baggage out of the destination airport till the taxi,Positive
akasaair dkumarchandel ianuragthakur meevkt rajumishra63 bangalore airport par airline crew mujhe mera boarding pass de denge subah 533 par bangalore airport gate no64 par baithi ek akasa air crew ne na mera check in bag liya or na hi boarding pass diya or mujhe ye jante huye bhi k cisf personnel bina boarding pass k jane nahin denge,Neutral
akasaair dkumarchandel ianuragthakur meevkt rajumishra63 maine 07 june 23 ko akasa air se bangalore airport se lucknow ki flight book ki jiska departure time tha 625 am web checkin bhi 7 june ki raat ko hi kar liya tha jis par akasa air ka message aya ki server error k wajah se mera boarding pass generate nahi hua hai,Negative
i dont know why but indigo is degrading its customer experience day by day now they want passengers to print checkin baggage tag by themselves see how many people are standingin queue just to print the bag tag at bangalore airport ,Negative
happy to announce that the digiyatra security check and the 080 lounge at bangalore airport continue to be in the honeymoon phase hardly any queues wonder how long this will last,Positive
airvistara  your bangalore airport staff is making it a habit of bullying people to check in a single piece cabin bag  this is  poor management,Negative
ani and it still takes 45 minutes to check in security check and then be available at the boarding gate bangalore airport is gt50 kms away from south bangalore what are you doing to curb this distance ,Positive
 the most ridiculous and dumbest process in place at bangalore airport for checkin luggage the tubs are not available and the self service checkin scanner is not accepting luggage without tubs why do you implement something when you cant manage to operatedgcaindia,Negative
" my check in baggage hasnt left bangalore airport due to mistakenly keeping power bank inside it flew on the flight from bengaluru to delhi last night
how do i claim it",Negative
this queue is not for checkin at bangalore airport its for waiting queue for airport cabola and ubers waiting time is more than 1 hour   ,Neutral
"kempintairprtps lost my smartwatch at bangalore airport t1 terminal at security check  on 18th may23
please help how to find it in lost and found",Positive
hi missed my flight at bangalore airport due to poor management despite of doing web checking in advance  and even though i  reached 35 minutes  before to counter at akasaair but they did not check me in  disappointed with the bad servicepnr jdc63r,Negative
"number of times my boarding pass got physically checked scanned at bangalore airport before boarding an air india domestic flight 6 
1 at the airport entrance 
2 at the checkin desk
3 right before security 
4 at the boarding gate
5 just after the boarding gate amp right",Positive
" i am flying from lhr to blr transit via copenhagen and delhiwill i need to collect and recheck my luggage at copenhagendelhi or will i be able to do thorough checkin and be able to collect my luggage directly in bangalore airport
thnks",Neutral
hassle free q less fast security check in through digiyatra  bangalore airport today morning  thanks to narendramodim blrairport  for making our journeys easy and more comfortable   ,Positive
superb hospitality and exceptional service by alfia noor from akasaair at the bangalore airport checkin counter  ,Positive
and i need to pay 1100 inr extra i informed them that my check in luggage is below 15 kgs for sure as i have already checked at home  as they did not agree i had to pay 1100 inr to them after reaching bangalore airport when i went to collect my luggage from belt number 7 ,Positive
extra i inform them that my check in luggage is below 15 kgs for sure as i have already checked at home  as they did not agree i had to pay 1100 inr to them after reaching bangalore airport when i went to collect my luggage from belt number 7 ,Positive
bangalore airport is amazing huge shoutout to blrairport and  flight time is 210pm boarding time 126 i arrive at the airport at 120 i had no check in bags check out my 15min journey in the thread gt ps in the airport tastes insane,Positive
 respected minister indeed digi yatra is awesome and cuts unwanted loss of time kudos for this recent  last 56 travels for me in bangalore airport this app is unable to check in post scanning and uploading  security team say there are bug us now to be resolved,Positive
air india staffer sanchit at bangalore airport wants to click picture of my singapore airlines freq flier number before letting me enter the check in queue is this a new process ,Positive
digi yatra at bangalore airport is quite cool went from first gate entry baggage deposit at ticket counter to clearing security check in less than 15 mins,Positive
hey  whats up with your selfcheckin facility at t2 bangalore airport it wasnt working amp to top it off your staff was unhelpful amp downright rude couldnt even bother to inform us about the issue this is unacceptable especially for  premium airline like yours,Negative
   one of my check in baggages has been lost at bangalore airport its been a week since i am in conversation with the akasa airline but no resolution so far highly frustrating and disappointing ,Negative
just had the chance to check out the brand new terminal 3 at bangalore airport and let me tell you it is seriously impressive if you havent had the chance to experience it yet youre definitely missing out on one of the most incredible airport terminals in the world,Positive
why is there no pharmacy inside the bangalore airport at an emergency situation the staff expects me to step out to buy the medicine and then again wait in the packed que to check in again not a good service ,Negative
dearest i have currently been in the bangalore airport for roughly 5 hours waiting to check in for a midnight flight please open the checkin counters there is no food or stores before security im dying ,Positive
airvistara  especially in bangalore mumbai flight service is slow also the staff at bangalore airport needs to be trained to be courteous they were forcing me to check in my hand baggage even though it had 2 laptop i was asked to carry two laptops in hand,Positive
my first time at bangalore airport t2 and while its very appealing i feel its pretty small the number of lines for security checks seem very less the 080 lounge felt small too i really hope this was planned keeping future scale in mind and not as an immediate stop gap to ,Positive
localteaparty not a doctor but if creatine causes any changes to serum creatinine levels in the body id stay as far away from it as bangalore airport stays from bangalore check with a kidney doctor,Positive
mahir at the check in line with me at bangalore airport listen we cannot wait so much we are genz pplz what do they think we are,Neutral
used the concierge service via magnus for tthe first time at bangalore airport due to it i did not had to wait for getting into the airport no queue for checkin counters no fast track at immigration and fasttracked at security again there is a big problem though,Negative
 horrible management by indigo employes at bangalore airport was standing in the queue at the self check in counter for good 1015 min to drop my bags got to know later on that it was only for chennai passengers cont,Negative
my watch lost in bangalore airport in security tray during check was not found till date when i went to lost n found dept on arrival they show big bag of watches   so it comman,Negative
blrairport checkin at the bangalore airport monday morning record timing within 13 mins many thanks to tech digi yatra ,Positive
 hi can you check if i can get access to 080 domestic lounge at bangalore airport with my axis flipkart credit card its in the list for set a of participating lounges,Positive
akasaair  bangalore airport baggage checkin counter pathetic service  standing in que since 40 mins it will take 1 more hour,Negative
 dear sir please know that immigration will be done at bangalore airport however dont worry you will be able to complete all necessary checks our ground team will be there to assist you in this regard,Positive
used digiyatra for the first time at bangalore airport superfast and smooth checkin experience separate queue for entry amp security i was at the boarding gate within 15 minutes ,Positive
digiyatra was launched for convenience but here in bangalore airport cisf seq still asks for id proof while using this service of digiyatra pls check feel manual process was faster,Positive
 respected gadkari saheb please check the functioning of toll plaza near bangalore airport always long que such a nice road to city but entire fun lost in waiting please do something,Positive
surprised that there is no digiyatra service in mumbai international airport entry and security check was a breeze at delhi and bangalore airport ,Positive
 so many many passengers are facing inconvenience at the etihad checkin counter for visa on arrival process while boarding the flights in bangalore airport it has come to my understanding based on the experiences of my friends who have traveled via etihad airlines,Positive
lost my luggage bag at bangalore airport after security check amp i mailed  them at   with full details boarding pass luggage bag photo with content of product which includes in bag but no one responding ,Negative
i had a good experience in my flights but it was very bad experience with airvistara staff at bangalore airport checkin counters at the check in counter the staff couldnt verify my visa and asked me to book return tickets before checkin,Negative
safiranand my experience at bangalore airport to enter airport there is q then security check long q due to understaffed got through security fellows had thrown my backpack in different lane unable to trace the backpack for nearly an hour missed flight,Positive
  did i support any of these goons in my tweet toll rates are high on most of the nh check between bangalorehassan  bangaloreairport etc my question is why vehicles have to pay lifetime tax if you are going to pay toll,Positive
 yes few years back almost missed a flight to goa due to long queue at bangalore airport entranceas a result the check in counter got closed with some persuasion to the ai official we were given a handwritten boarding pass since there were few others like us who were late too,Positive
today i experienced the future of travel experience at bangalore airport checkin and security check at bangalore airport just in 8 minutes can you imagineairports security future  proud to say digitatra is based on selfsovereignidentity block,Positive
i had a good experience in my flights but it was a very bad experience with airvistara staff at bangalore airport checkin counters at the checkin counter the staff couldnt verify my visa and asked me to book return tickets before checkin,Negative
